 1/2  Fe2O3 +  1/2  Al2O3,-> AlFeO3,1623,58,0.062,40,-42, @majzlan2002ThermodynamicsCrystal
 7/9  Ca2SiO4 +  2/9  CaO,-> Ca3SiO5,1273,-1134,-0.184,-1080,-900, @SGTE_LB
 3/8  TiO2 +  5/8  Fe2O3,-> TiFe2O5,1173,4,0.020,-2,-19, @ren2013SolidState
 11/13  V2Cu2O7 +  2/13  CuO,-> V2Cu3O8,393,-15,,,, @aiswarya2025CalorimetricInvestigation
 2/5  PbO +  3/5  ZrO2,-> ZrPbO3,1073,1,,,, @rane2001EnthalpiesFormation
 2/7  NiO +  5/7  La2O3,-> La2NiO4,1423,-1021,-0.206,-958,-728, @SGTE_LB
 3/7  TiO2 +  4/7  ZnO,-> TiZn2O4,1223,-1554,-0.358,-1447,-1116, @SGTE_LB
 3/8  La2Pd2O5 +  5/8  La2O3,-> La4PdO7,1475,-25,0.000,-25,-25, @jacob2002SystematicTrends
 11/13  V2Zn2O7 +  2/13  ZnO,-> V2Zn3O8,1373,-288,,-264,, @aiswarya2025CalorimetricInvestigation
 2/17  CoO +  5/17  La2O3 +  10/17  LaCoO3,-> La4Co3O10,1423,-1994,,,, @SGTE_LB
 1/9  FeO +  11/18  U3O8 +  5/18  Fe2O3,-> UFeO4,1223,-12,,,, @labroche2000ContributionThermodynamic
 3/7  Ag2O +  4/7  WO3,-> Ag2WO4,973,-636,-0.212,-573,-430, @SGTE_LB
 4/9  CuO +  5/9  Y2O3,-> Y2Cu2O5,1223,-1228,,,, @navrotsky2015ThermodynamicsSolid
 2/3  MoO3 +  1/3  CuO,-> CuMoO4,923,-628,-0.236,-557,-410, @SGTE_LB
